Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	-2.6	-2.0	-2.1	-0.6	-0.4	-1.2	-2.5	-5.3
Albania	40.5	40.5	40.5	40.5	40.5	40.5	42.62	44.74	46.86	48.980000000000004	51.1	50.980000000000004	50.86	50.74	50.62	50.5	53.9	57.3	60.7	64.1	67.5	70.3	70.2	72.2	73.2	68.1	66.4	63.6	58.8
Algeria	78.4	71.72	65.04	58.36	51.68	45.0	41.66	38.32	34.980000000000004	31.64	28.3	24.1	19.9	15.7	11.5	7.3	4.52	1.7400000000000002	-1.04	-3.8199999999999994	-6.6	-4.5	-2.1	3.0	18.0	40.0	54.4	67.9	72.7
Angola	52.7	52.7	52.7	52.7	52.7	52.7	39.2	25.700000000000003	12.200000000000003	-1.2999999999999972	-14.8	-11.46	-8.120000000000001	-4.780000000000001	-1.4400000000000013	1.9	5.32	8.74	12.160000000000002	15.580000000000002	19.0	15.5	13.9	17.1	21.1	27.0	27.3	29.7	24.8
Antigua and Barbuda	53.4	54.56	55.72	56.88	58.04	59.2	62.64	66.08	69.52000000000001	72.96000000000001	76.4	76.22	76.04	75.86	75.68	75.5	80.26	85.02	89.78	94.53999999999999	99.3	99.3	91.8	90.6	80.9	64.9	62.3	60.2	57.8
Argentina	32.4	31.5	30.599999999999998	29.7	28.799999999999997	27.9	29.22	30.54	31.86	33.18	34.5	34.58	34.66	34.74	34.82	34.9	32.98	31.06	29.14	27.22	25.3	26.5	30.6	33.2	34.4	40.4	37.9	38.9	38.9
Armenia	9.1	9.1	9.1	9.1	9.1	9.1	9.58	10.06	10.54	11.02	11.5	10.96	10.42	9.88	9.34	8.8	12.600000000000001	16.4	20.2	24.0	27.8	36.4	41.4	43.1	51.3	48.3	54.4	58.3	62.5
Australia	70.4	72.42	74.44	76.46000000000001	78.48	80.5	83.08	85.66	88.24000000000001	90.82000000000001	93.4	97.38000000000001	101.36	105.34	109.32	113.3	121.4	129.5	137.60000000000002	145.70000000000002	153.8	151.2	149.9	155.3	164.4	175.7	182.5	176.2	176.8
Austria	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	126.0	127.82	129.64	131.46	133.28	135.1	132.1	135.3	130.4	125.4	123.5	128.8	125.1	123.9
Azerbaijan	12.5	12.5	12.5	12.5	12.5	12.5	11.92	11.34	10.76	10.18	9.6	9.92	10.24	10.559999999999999	10.879999999999999	11.2	13.559999999999999	15.92	18.28	20.64	23.0	19.2	24.4	23.1	27.3	40.7	28.1	12.4	13.2
