Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	692.0	692.0	692.0	692.0	692.0	692.0	642.6	593.2	543.8	494.4	445.0	489.0	533.0	577.0	621.0	665.0	724.6	784.2	843.8	903.4	963.0	944.0	1044.0	1082.0	1088.0	1096.0	1099.0	1112.0	1102.0
Albania	3032.0	3032.0	3032.0	3032.0	3032.0	3032.0	3198.6	3365.2	3531.8	3698.4	3865.0	4156.2	4447.4	4738.6	5029.8	5321.0	5746.0	6171.0	6596.0	7021.0	7446.0	7672.0	8366.0	8374.0	8379.0	9115.0	9186.0	9423.0	9780.0
Algeria	1820.0	1820.0	1820.0	1820.0	1820.0	1820.0	1868.6	1917.2	1965.8	2014.4	2063.0	2198.0	2333.0	2468.0	2603.0	2738.0	2921.2	3104.4	3287.6	3470.8	3654.0	3855.0	4081.0	4182.0	4059.0	4072.0	4186.0	4093.0	4104.0
Angola	2424.0	2424.0	2424.0	2424.0	2424.0	2424.0	2463.4	2502.8	2542.2	2581.6	2621.0	2862.4	3103.8	3345.2	3586.6	3828.0	4046.8	4265.6	4484.4	4703.2	4922.0	4902.0	5185.0	5329.0	5494.0	5462.0	5136.0	5054.0	4720.0
Argentina	9107.0	9107.0	9107.0	9107.0	9107.0	9107.0	9156.0	9205.0	9254.0	9303.0	9352.0	9218.4	9084.8	8951.2	8817.6	8684.0	9390.0	10096.0	10802.0	11508.0	12214.0	12778.0	12676.0	12797.0	12317.0	12671.0	12406.0	12680.0	12085.0
Armenia	1574.0	1574.0	1574.0	1574.0	1574.0	1574.0	1612.4	1650.8	1689.2	1727.6	1766.0	2115.0	2464.0	2813.0	3162.0	3511.0	3677.6	3844.2	4010.8	4177.4	4344.0	5069.0	5431.0	5599.0	5701.0	5911.0	5682.0	6193.0	6341.0
Australia	21060.0	21060.0	21060.0	21060.0	21060.0	21060.0	21910.0	22760.0	23610.0	24460.0	25310.0	25919.0	26528.0	27137.0	27746.0	28355.0	29025.6	29696.2	30366.8	31037.4	31708.0	32083.0	33196.0	33768.0	34196.0	34832.0	35366.0	35586.0	35897.0
Austria	23695.0	23695.0	23695.0	23695.0	23695.0	23695.0	23782.4	23869.8	23957.2	24044.6	24132.0	24580.2	25028.4	25476.6	25924.8	26373.0	27756.6	29140.2	30523.8	31907.4	33291.0	30325.0	30569.0	30646.0	34593.0	30603.0	31404.0	31931.0	32617.0
Azerbaijan	2625.0	2625.0	2625.0	2625.0	2625.0	2625.0	2786.0	2947.0	3108.0	3269.0	3430.0	3635.2	3840.4	4045.6	4250.8	4456.0	5658.0	6860.0	8062.0	9264.0	10466.0	9578.0	9260.0	9835.0	11253.0	11048.0	9780.0	9881.0	9850.0
Bahamas	24513.0	24513.0	24513.0	24513.0	24513.0	24513.0	24775.8	25038.6	25301.4	25564.2	25827.0	25753.2	25679.4	25605.6	25531.8	25458.0	25066.2	24674.4	24282.6	23890.8	23499.0	23423.0	24105.0	23833.0	23051.0	23043.0	22181.0	22649.0	22827.0
Bahrain	19977.0	19977.0	19977.0	19977.0	19977.0	19977.0	20341.4	20705.8	21070.2	21434.6	21799.0	22542.0	23285.0	24028.0	24771.0	25514.0	25924.8	26335.6	26746.4	27157.2	27568.0	26208.0	16254.0	17045.0	16697.0	19272.0	18973.0	19077.0	18418.0
