Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	1756.0	1756.0	1756.0	1756.0	1756.0	1756.0	1638.2	1520.4	1402.6	1284.8	1167.0	1273.4	1379.8	1486.2	1592.6	1699.0	1829.8	1960.6	2091.4	2222.2	2353.0	2275.0	2472.0	2509.0	2466.0	2432.0	2396.0	2386.0	2355.0
Albania	5338.0	5338.0	5338.0	5338.0	5338.0	5338.0	5714.2	6090.4	6466.6	6842.8	7219.0	7729.0	8239.0	8749.0	9259.0	9769.0	10250.4	10731.8	11213.2	11694.6	12176.0	12702.0	12176.0	12898.0	13135.0	13010.0	13794.0	14150.0	14727.0
Algeria	15808.0	15808.0	15808.0	15808.0	15808.0	15808.0	16073.0	16338.0	16603.0	16868.0	17133.0	17756.4	18379.8	19003.2	19626.6	20250.0	20612.4	20974.8	21337.2	21699.6	22062.0	21790.0	21570.0	21541.0	22101.0	22403.0	23284.0	23024.0	22980.0
Angola	3294.0	3294.0	3294.0	3294.0	3294.0	3294.0	3348.6	3403.2	3457.8	3512.4	3567.0	3896.4	4225.8	4555.2	4884.6	5214.0	5518.0	5822.0	6126.0	6430.0	6734.0	6710.0	7093.0	7280.0	7495.0	7439.0	6986.0	6865.0	6407.0
Argentina	18633.0	18633.0	18633.0	18633.0	18633.0	18633.0	18946.4	19259.8	19573.2	19886.6	20200.0	20038.0	19876.0	19714.0	19552.0	19390.0	20447.6	21505.2	22562.8	23620.4	24678.0	26077.0	25542.0	26002.0	25138.0	25457.0	24394.0	24541.0	23418.0
Armenia	2827.0	2827.0	2827.0	2827.0	2827.0	2827.0	3143.4	3459.8	3776.2	4092.6	4409.0	5118.2	5827.4	6536.6	7245.8	7955.0	8394.0	8833.0	9272.0	9711.0	10150.0	9770.0	10473.0	11078.0	11237.0	11380.0	11269.0	12294.0	12582.0
Australia	38073.0	38073.0	38073.0	38073.0	38073.0	38073.0	39218.0	40363.0	41508.0	42653.0	43798.0	44442.0	45086.0	45730.0	46374.0	47018.0	47264.8	47511.6	47758.4	48005.2	48252.0	48483.0	49952.0	50665.0	51038.0	51717.0	52003.0	51990.0	52363.0
Austria	44339.0	44339.0	44339.0	44339.0	44339.0	44339.0	46219.0	48099.0	49979.0	51859.0	53739.0	54364.4	54989.8	55615.2	56240.6	56866.0	56422.8	55979.6	55536.4	55093.2	54650.0	59600.0	59312.0	58844.0	54456.0	57604.0	58366.0	59314.0	60303.0
Azerbaijan	4274.0	4274.0	4274.0	4274.0	4274.0	4274.0	4512.8	4751.6	4990.4	5229.2	5468.0	6373.0	7278.0	8183.0	9088.0	9993.0	12089.4	14185.8	16282.2	18378.6	20475.0	19859.0	20938.0	21935.0	21693.0	21519.0	20555.0	20777.0	20655.0
Bahamas	38462.0	38462.0	38462.0	38462.0	38462.0	38462.0	38594.2	38726.4	38858.6	38990.8	39123.0	39141.0	39159.0	39177.0	39195.0	39213.0	38375.6	37538.2	36700.8	35863.4	35026.0	34833.0	35755.0	35255.0	34615.0	34828.0	33737.0	33805.0	34290.0
Bahrain	60104.0	60104.0	60104.0	60104.0	60104.0	60104.0	60356.4	60608.8	60861.2	61113.6	61366.0	59937.4	58508.8	57080.2	55651.6	54223.0	51995.0	49767.0	47539.0	45311.0	43083.0	41039.0	48346.0	50429.0	49056.0	56296.0	55185.0	54954.0	52952.0
