Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1099.0	1213.6	1328.2	1442.8	1557.4	1672.0	1627.0	1773.0	1808.0	1796.0	1767.0	1757.0	1758.0	1735.0
Albania	4458.0	4392.4	4326.8	4261.2	4195.6	4130.0	4392.6	4655.2	4917.8	5180.4	5443.0	5839.6	6236.2	6632.8	7029.4	7426.0	7926.4	8426.8	8927.2	9427.6	9928.0	10208.0	10370.0	10493.0	10701.0	10971.0	11357.0	11803.0	12306.0
Algeria	10298.0	10107.0	9916.0	9725.0	9534.0	9343.0	9526.0	9709.0	9892.0	10075.0	10258.0	10681.2	11104.4	11527.6	11950.8	12374.0	12483.4	12592.8	12702.2	12811.6	12921.0	13046.0	13226.0	13323.0	13549.0	13774.0	13940.0	13876.0	13886.0
Angola	4761.0	4490.4	4219.8	3949.2	3678.6	3408.0	3504.8	3601.6	3698.4	3795.2	3892.0	4136.2	4380.4	4624.6	4868.8	5113.0	5362.4	5611.8	5861.2	6110.6	6360.0	6346.0	6645.0	6731.0	6813.0	6645.0	6258.0	6045.0	5725.0
Antigua and Barbuda	17473.0	17511.2	17549.4	17587.6	17625.8	17664.0	18289.4	18914.8	19540.2	20165.6	20791.0	21078.6	21366.2	21653.8	21941.4	22229.0	21915.2	21601.4	21287.6	20973.8	20660.0	19953.0	20389.0	20121.0	20821.0	21426.0	22394.0	22856.0	23768.0
Argentina	11373.0	11890.4	12407.8	12925.2	13442.6	13960.0	14163.0	14366.0	14569.0	14772.0	14975.0	15103.8	15232.6	15361.4	15490.2	15619.0	16277.6	16936.2	17594.8	18253.4	18912.0	19817.0	19392.0	19638.0	18935.0	19244.0	18645.0	18945.0	18282.0
Armenia	3742.0	3428.2	3114.4	2800.6	2486.8	2173.0	2323.4	2473.8	2624.2	2774.6	2925.0	3411.4	3897.8	4384.2	4870.6	5357.0	5626.2	5895.4	6164.6	6433.8	6703.0	7020.0	7505.0	7717.0	7954.0	8172.0	8159.0	8745.0	9178.0
Australia	28669.0	29017.6	29366.2	29714.8	30063.4	30412.0	31408.2	32404.4	33400.6	34396.8	35393.0	36108.2	36823.4	37538.6	38253.8	38969.0	39481.2	39993.4	40505.6	41017.8	41530.0	41965.0	42848.0	43218.0	43672.0	44054.0	44606.0	44888.0	45439.0
Austria	31342.0	31832.0	32322.0	32812.0	33302.0	33792.0	34802.4	35812.8	36823.2	37833.6	38844.0	39331.8	39819.6	40307.4	40795.2	41283.0	41693.6	42104.2	42514.8	42925.4	43336.0	44453.0	44552.0	44301.0	44247.0	44254.0	44671.0	45493.0	46473.0
Azerbaijan	8790.0	7717.6	6645.2	5572.799999999999	4500.4	3428.0	3663.2	3898.4	4133.6	4368.8	4604.0	5319.6	6035.2	6750.8	7466.4	8182.0	9788.8	11395.6	13002.4	14609.2	16216.0	15754.0	15889.0	16601.0	16854.0	16829.0	16132.0	15929.0	16011.0
