Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	28.2	32.32	36.44	40.559999999999995	44.67999999999999	48.8	49.0	55.2	58.3	59.9	60.8	62.2	63.8	64.5
Albania	14.7	14.399999999999999	14.1	13.799999999999999	13.5	13.2	13.92	14.64	15.36	16.080000000000002	16.8	17.92	19.04	20.16	21.28	22.4	23.7	25.0	26.299999999999997	27.599999999999998	28.9	29.7	30.1	30.4	30.9	31.6	32.7	33.9	35.3
Algeria	265.3	265.98	266.66	267.34	268.02	268.7	278.64	288.58	298.52	308.46	318.4	336.76	355.12	373.48	391.84	410.2	421.14	432.08	443.02	453.96	464.9	478.3	494.4	508.1	527.4	547.2	565.3	574.3	586.4
Angola	56.4	54.62	52.839999999999996	51.06	49.28	47.5	50.76	54.019999999999996	57.28	60.54	63.8	70.92	78.04	85.16	92.28	99.4	109.24000000000001	119.08	128.92000000000002	138.76	148.6	153.7	166.8	175.1	183.6	185.3	180.5	180.2	176.4
Antigua and Barbuda	1.1	1.12	1.1400000000000001	1.16	1.18	1.2	1.28	1.36	1.44	1.52	1.6	1.6400000000000001	1.6800000000000002	1.72	1.76	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.9	2.0	2.1	2.2	2.3
Argentina	371.0	394.04	417.08	440.12	463.15999999999997	486.2	499.4	512.6	525.8000000000001	539.0	552.2	563.26	574.32	585.38	596.44	607.5	640.28	673.06	705.8399999999999	738.62	771.4	817.7	809.3	828.8	807.9	830.0	812.7	834.4	813.5
Armenia	13.2	11.959999999999999	10.719999999999999	9.48	8.24	7.0	7.4	7.8	8.2	8.6	9.0	10.4	11.8	13.2	14.6	16.0	16.66	17.32	17.98	18.64	19.3	20.2	21.6	22.4	23.2	23.9	24.0	25.8	27.1
Australia	489.2	501.28	513.36	525.44	537.52	549.6	575.26	600.92	626.5799999999999	652.24	677.9	701.28	724.66	748.04	771.42	794.8	818.8399999999999	842.88	866.92	890.96	915.0	937.5	974.1	999.6	1025.2	1049.2	1079.1	1104.3	1135.6
Austria	240.6	246.2	251.8	257.40000000000003	263.0	268.6	277.12	285.64	294.16	302.68	311.2	316.9	322.59999999999997	328.3	334.0	339.7	344.24	348.78	353.32	357.85999999999996	362.4	373.0	375.6	375.7	378.1	382.5	390.3	400.2	411.2
Azerbaijan	62.9	55.58	48.260000000000005	40.940000000000005	33.620000000000005	26.3	28.46	30.62	32.78	34.94	37.1	43.42	49.74	56.06	62.38	68.7	84.32000000000001	99.94	115.56	131.18	146.8	144.5	147.7	156.3	160.7	162.4	157.4	157.0	159.2
Bahamas	7.9	7.9	7.9	7.9	7.9	7.9	8.280000000000001	8.66	9.040000000000001	9.42	9.8	9.98	10.16	10.34	10.52	10.7	10.66	10.62	10.58	10.54	10.5	10.6	10.9	10.9	10.9	11.0	10.8	11.0	11.0
