Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	23.2	22.16	21.12	20.08	19.04	18.0	16.7	16.9	17.3	18.2	19.5	17.8	19.2	19.2
Albania	30.4	28.58	26.759999999999998	24.939999999999998	23.12	21.3	23.42	25.54	27.66	29.78	31.9	33.1	34.3	35.5	36.699999999999996	37.9	36.0	34.1	32.2	30.299999999999997	28.4	29.4	26.5	26.1	24.2	24.4	24.4	24.5	24.2
Algeria	27.0	27.42	27.84	28.26	28.68	29.1	27.42	25.740000000000002	24.060000000000002	22.38	20.7	21.04	21.38	21.72	22.06	22.4	25.18	27.959999999999997	30.74	33.519999999999996	36.3	31.7	30.8	34.2	37.4	42.3	43.0	41.4	41.4
Angola	0.0	2.81	5.62	8.43	11.24	14.05	16.86	19.67	22.48	25.29	28.1	28.040000000000003	27.98	27.92	27.86	27.8	27.88	27.96	28.04	28.12	28.2	26.4	26.7	26.2	27.5	28.2	26.2	23.2	23.2
Argentina	14.0	14.78	15.559999999999999	16.34	17.119999999999997	17.9	17.56	17.22	16.88	16.54	16.2	16.439999999999998	16.68	16.919999999999998	17.16	17.4	17.24	17.08	16.92	16.76	16.6	17.2	15.9	16.3	16.0	15.6	14.3	15.0	14.4
Armenia	44.3	38.68	33.06	27.439999999999998	21.82	16.2	16.64	17.08	17.52	17.959999999999997	18.4	20.68	22.96	25.24	27.52	29.8	29.84	29.88	29.92	29.96	30.0	25.8	23.6	21.2	20.0	20.6	17.4	17.6	16.7
Australia	27.7	27.2	26.7	26.2	25.7	25.2	25.36	25.52	25.68	25.84	26.0	26.22	26.44	26.66	26.880000000000003	27.1	27.1	27.1	27.1	27.1	27.1	26.1	27.4	27.9	26.9	26.2	25.3	23.9	24.2
Austria	25.4	25.38	25.36	25.34	25.32	25.3	25.36	25.42	25.48	25.540000000000003	25.6	25.1	24.6	24.1	23.6	23.1	22.8	22.5	22.200000000000003	21.900000000000002	21.6	22.5	22.6	23.0	22.7	22.7	23.2	23.6	23.9
Azerbaijan	20.3	19.36	18.42	17.48	16.54	15.6	17.1	18.6	20.1	21.6	23.1	26.740000000000002	30.38	34.019999999999996	37.66	41.3	36.68	32.06	27.439999999999998	22.82	18.2	20.2	22.5	25.8	27.4	27.8	25.0	23.8	20.6
Bahamas	25.6	25.560000000000002	25.52	25.48	25.439999999999998	25.4	25.919999999999998	26.439999999999998	26.96	27.48	28.0	27.62	27.240000000000002	26.86	26.48	26.1	26.220000000000002	26.34	26.46	26.58	26.7	28.4	30.3	27.8	31.0	23.6	24.0	26.3	26.3
Bahrain	18.9	18.58	18.259999999999998	17.94	17.62	17.3	17.12	16.94	16.759999999999998	16.58	16.4	18.259999999999998	20.119999999999997	21.979999999999997	23.84	25.7	25.759999999999998	25.82	25.88	25.94	26.0	21.1	26.8	24.8	25.6	24.0	22.3	28.5	28.7
Bangladesh	16.5	17.02	17.54	18.060000000000002	18.580000000000002	19.1	20.040000000000003	20.98	21.92	22.86	23.8	24.2	24.6	25.0	25.400000000000002	25.8	25.88	25.96	26.04	26.12	26.2	27.4	28.3	28.4	28.6	28.9	29.7	30.5	31.2
Barbados	14.9	14.200000000000001	13.5	12.8	12.100000000000001	11.4	12.64	13.88	15.120000000000001	16.36	17.6	17.76	17.92	18.08	18.24	18.4	17.84	17.279999999999998	16.72	16.16	15.6	16.8	15.7	16.5	16.5	17.1	16.9	18.1	18.1
Belarus	21.9	22.459999999999997	23.02	23.58	24.14	24.7	24.8	24.9	25.0	25.099999999999998	25.2	25.46	25.72	25.98	26.24	26.5	28.78	31.06	33.34	35.62	37.9	37.7	33.4	37.2	33.2	28.7	25.4	26.2	25.9
