Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Australia	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.339999999999996	55.879999999999995	55.42	54.96	54.5	54.24	53.980000000000004	53.72	53.46	53.2	53.3	53.6	53.4	54.1	54.5	52.6	52.2	52.0
Austria	56.0	56.0	56.0	56.0	56.0	56.0	56.0	56.0	56.0	56.0	56.0	55.46	54.92	54.379999999999995	53.839999999999996	53.3	53.559999999999995	53.82	54.08	54.34	54.6	54.0	54.5	55.0	55.0	54.6	54.7	54.3	54.3
Azerbaijan	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	18.6	19.3	22.1	22.1	22.1	22.1
Belgium	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	59.74	59.480000000000004	59.22	58.96	58.7	58.940000000000005	59.18	59.42	59.66	59.9	60.3	61.2	61.7	61.4	60.3	59.4	59.4	59.7
Bulgaria	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.1	48.5	47.900000000000006	47.300000000000004	46.7	47.34	47.980000000000004	48.62	49.26	49.9	48.2	49.9	54.1	56.1	56.2	56.3	59.0	58.2
Canada	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.519999999999996	55.14	54.76	54.38	54.0	54.32	54.64	54.96	55.28	55.6	54.8	55.6	55.6	54.9	56.6	55.5	54.7	55.3
Chile	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	40.95	44.7	44.7	44.7	44.7	44.7	44.7
Colombia	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	33.4	31.7	32.4	32.7	32.9	34.1	33.5	33.5	33.5
Croatia	67.2	67.2	67.2	67.2	67.2	67.2	67.2	67.2	67.2	67.2	67.2	66.36	65.52	64.68	63.84	63.0	62.8	62.6	62.4	62.2	62.0	61.0	59.5	57.2	55.7	55.3	54.3	52.8	52.7
Cyprus	51.7	51.7	51.7	51.7	51.7	51.7	51.7	51.7	51.7	51.7	51.7	52.36	53.02	53.68	54.34	55.0	54.92	54.84	54.76	54.68	54.6	54.5	54.3	52.0	50.7	50.4	50.0	49.5	48.9
Czechia	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.38	45.76	46.14	46.519999999999996	46.9	47.08	47.26	47.44	47.62	47.8	48.1	48.8	48.4	47.4	46.5	47.3	48.3	50.7
Denmark	53.9	53.9	53.9	53.9	53.9	53.9	53.9	53.9	53.9	53.9	53.9	53.98	54.059999999999995	54.14	54.22	54.3	54.72	55.14	55.559999999999995	55.98	56.4	56.0	55.2	55.1	54.9	55.1	55.0	54.8	55.9
Estonia	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.1	48.7	48.3	47.9	47.5	48.34	49.18	50.02	50.86	51.7	49.1	49.9	50.2	50.9	52.5	53.3	53.7	54.4
Finland	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.14	53.18	53.22	53.26	53.3	53.86	54.42	54.98	55.54	56.1	55.9	57.1	56.4	56.1	55.6	54.9	52.9	52.7
France	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.9	55.96	56.02	56.08	56.14	56.2	56.46	56.72	56.980000000000004	57.24	57.5	57.5	58.1	58.4	58.5	58.0	58.1	58.1	58.3
Germany	58.8	58.8	58.8	58.8	58.8	58.8	58.8	58.8	58.8	58.8	58.8	58.26	57.72	57.18	56.64	56.1	56.04	55.98	55.92	55.86	55.8	55.6	56.5	56.5	56.3	56.2	56.2	56.4	56.9
Greece	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	50.38	51.26	52.14	53.019999999999996	53.9	53.98	54.059999999999995	54.14	54.22	54.3	53.1	52.2	49.8	49.8	49.4	49.3	49.3	49.6
Guinea	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9
Hungary	52.6	52.6	52.6	52.6	52.6	52.6	52.6	52.6	52.6	52.6	52.6	52.64	52.68	52.72	52.76	52.8	52.12	51.44	50.76	50.08	49.4	49.1	49.2	48.2	47.2	45.2	47.1	47.2	48.2
Iceland	59.9	59.9	59.9	59.9	59.9	59.9	59.9	59.9	59.9	59.9	59.9	59.74	59.58	59.42	59.26	59.1	57.18	55.26	53.34	51.42	49.5	51.7	52.5	53.5	53.7	53.7	55.2	57.9	58.3
Iraq	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	25.6	21.1	23.4	25.7	26.9	34.3	37.7	37.7	37.7
Ireland	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.06	46.92	46.78	46.64	46.5	47.22	47.94	48.660000000000004	49.38	50.1	48.3	47.4	47.3	45.0	35.6	36.2	34.9	34.3
Italy	51.1	51.1	51.1	51.1	51.1	51.1	51.1	51.1	51.1	51.1	51.1	51.300000000000004	51.5	51.7	51.9	52.1	52.5	52.9	53.300000000000004	53.7	54.1	53.6	53.7	53.4	53.0	52.9	52.7	52.2	52.8
